Rank,Company,Sells_2017,Sells_2016,Revenue_2017,EBITDA_2017,Employees,IndustrialActivity,Location
370,HOTELBEDSSPAINSL,499.062.00,408.957.00,24.151.00,23.498.00,578,Productos/actividadesdeocio/Pel�culas,PALMADEMALLOR(ISLASBALEARES)
371,HENKELIBERICASA,-,497.725.00,-,-,476,Productoscosm�ticos/CuidadoPersonal,BARCELONA(BARCELONA)
372,ALUMINAESPA�OLASA,497.663.00,376.546.00,87.510.00,116.860.00,492,Metalesnoferrosos/minerales,MADRID(MADRID)
373,SEMARKACGROUPSA,497.229.521,467.484.297,6.035.842,17.095.645,2.927,Minoristasdealimentos/medicamentos,SANTANDER(CANTABRIA)
374,COSENTINOSA,497.148.060,412.047.854,42.679.761,81.843.856,1.936,Metalesnoferrosos/minerales,MACAEL(ALMER�A)
375,SUPERSOLSPAINSL,495.886.00,496.269.00,-1.313.00,-5.633.00,4.510,Minoristasdealimentos/medicamentos,GETAFE(MADRID)
376,CECOSAHIPERMERCADOSSL,495.732.00,792.400.00,-84.147.00,-43.809.00,720,Minoristasdealimentos/medicamentos,MADRID(MADRID)
377,ECOEMBALAJESESPA�ASA,-,494.174.00,-,-,145,Industriamaderera,MADRID(MADRID)
378,ALMIRALLSA,492.686.00,509.744.00,-220.893.00,-94.484.00,572,Productosf�rmacos/Medicamentos,Barcelona(BARCELONA)
379,SUPERMERCADOSCHAMPIONSA,491.543.370,454.243.732,5.071.614,20.082.833,3.539,Minoristasdealimentos/medicamentos,ALCOBENDAS(MADRID)
380,KUEHNE&NAGELSA,491.237.00,465.579.00,7.497.00,12.171.00,1.935,Transportea�reo,MejoradaDelCa(MADRID)
381,OMNICOMMEDIAGROUPSL,490.023.00,388.198.00,1.624.00,1.310.00,121,Equiposyservicioscomerciales,MADRID(MADRID)
382,MAGNETIMARELLIESPA�ASA,489.367.228,458.815.542,33.390.107,60.570.630,1.253,Automotor,LLINARESDELVA(BARCELONA)
383,COFCOINTERNATIONALAGROCOMERCIALSA,489.362.00,647.536.00,-21.408.00,-17.862.00,21,Agricultura,PozueloDeAlar(MADRID)
384,ZARAHOMEESPA�ASA,489.285.153,486.783.483,28.278.130,25.315.667,-,Ropa/textiles,ARTEIXO(�LAVA)
385,ALSTOMTRANSPORTESA,488.327.00,454.203.00,28.117.00,41.235.00,1.791,Ferrocarrilyindustriascorrespondientes,MADRID(MADRID)
386,INITECPLANTASINDUSTRIALESSA,486.950.00,641.266.00,-47.876.00,31.707.00,1.369,Construcci�nyDesarrollo,MADRID(MADRID)
387,PENINSULAPETROLEUMSL,486.692.219,299.272.438,1.811.205,1.858.412,13,Petr�leoygas,LOSBARRIOS(C�DIZ)
388,ENDESAREDSA,484.709.00,700.525.00,450.837.00,479.235.00,40,Utilities/Serviciosdeutilidadp�blica,madrid(MADRID)
389,EXIDETECHNOLOGIESSL,484.705.00,436.210.00,9.509.00,17.567.00,1.387,Automotor,AZUQUECADEHEN(GUADALAJARA)
390,EUROPASTRYSA,483.786.253,443.731.069,24.558.388,70.900.944,1.571,Productosalimenticios,SantCugatdel(BARCELONA)
391,TRAVELTINO2009SL,482.437.474,434.063.754,548.646,692.225,168,Productos/actividadesdeocio/Pel�culas,santacruzdet(SANTACRUZDET)
392,ABASICSL,479.011.358,533.631.439,69.703.613,30.083.636,1.002,Ropa/textiles,BARCELONA(BARCELONA)
393,ALTADISSA,478.726.00,541.499.00,117.919.00,178.051.00,635,BebidasyTabaco,Madrid(MADRID)
394,SCHWEPPESSA,477.436.00,475.725.00,12.480.00,49.478.00,1.154,BebidasyTabaco,MADRID(MADRID)
395,SCANIAHISPANIASA,475.970.00,440.071.00,13.903.00,43.598.00,-,Automotor,SANFERNANDODE(MADRID)
396,ABAZUCARERAIBERIASL,473.710.00,400.414.00,28.914.00,55.385.00,767,Productosalimenticios,MADRID(MADRID)
397,AIRNOSTRUMLINEASAEREASDELMEDITERRANEOSA,470.918.00,437.522.00,13.207.00,24.959.00,1.394,Transportea�reo,QUARTDEPOBLET(VALENCIA)
398,FRIGORIFICOSCOSTABRAVASA,470.071.050,411.786.177,13.966.884,25.089.381,615,Productosalimenticios,RIUDELLOTSDEL(GIRONA)
399,DALPHIMETALESPA�ASA,470.010.00,368.564.00,-28.264.00,-23.596.00,820,Automotor,VIGO(PONTEVEDRA)
400,ARCELORMITTALSPAINHOLDINGSL,469.338.435,35.874.094,453.282.605,454.628.076,100,Acero,MADRID(MADRID)
401,TETRAPAKHISPANIASA,468.996.718,469.791.646,11.429.547,24.151.665,313,Productosalimenticios,ArgandadelRey(MADRID)
402,FERRERINTERNACIONALSA,463.278.517,418.481.136,51.473.925,26.689.802,1.170,Productosf�rmacos/Medicamentos,BARCELONA(BARCELONA)
403,MERCARTABRIASL,463.210.075,449.414.301,19.388.336,31.498.233,2.739,Minoristasdealimentos/medicamentos,BETANZOS(LACORU�A)
404,EMPRESADETRANSFORMACIONAGRARIASASMEMP,463.128.00,462.445.00,-7.432.00,-1.00,6.343,Equiposindustriales,MADRID(MADRID)
405,ABBVIESPAINSL,462.223.00,529.780.00,-1.314.00,18.146.00,530,Productosf�rmacos/Medicamentos,Madrid(MADRID)
406,FENIEENERGIASA,456.594.584,332.340.541,717.665,2.517.623,141,Utilities/Serviciosdeutilidadp�blica,LasRozas(MADRID)
407,GRUPOEMPRESARIALSANTANDERSL,454.829.00,430.577.00,275.855.00,411.875.00,5,Intermediariosfinancieros,BOADILLADELMO(MADRID)
408,PFIZERSL,454.806.00,483.186.00,9.726.00,16.536.00,595,Productosf�rmacos/Medicamentos,ALCOBENDAS(MADRID)
409,LIBERBANKSA,454.595.00,621.833.00,-345.544.00,79.584.00,-,Intermediariosfinancieros,MADRID(MADRID)
410,RIUSAIISA,454.101.00,427.688.00,122.415.00,181.680.00,3.287,Alojamientoycasinos,PALMADEMALLOR(ISLASBALEARES)
411,VIDRALASA,452.914.00,423.540.00,121.653.00,53.981.00,134,Contenedoresyproductosdevidrio,LLODIO(�LAVA)
412,COMAPA2001SL,451.727.710,339.816.745,18.105.349,29.898.244,24,Productosalimenticios,ALCOBENDAS(MADRID)
413,CARLSONWAGONLITESPA�ASL,450.887.00,446.778.00,-6.77.00,-4.036.00,824,Productos/actividadesdeocio/Pel�culas,Madrid(MADRID)
414,GARCIAMUNTEENERGIASL,449.365.865,338.094.459,9.178.497,1.185.043,102,Metalesnoferrosos/minerales,PRATDELLOBREG(BARCELONA)
415,NEMAKEXTERIORSL,448.303.702,493.552.637,-31.974.609,-22.142.097,9,Automotor,ALCOBENDAS(MADRID)
416,AERNNOVAAEROSPACESA,446.892.00,441.892.00,70.865.00,56.552.00,150,Aeroespacialydefensa,MI�ANOMAYOR(�LAVA)
417,DISCOVERYNETWORKSSL,446.499.001,361.083.806,691.657,12.696.616,71,RadioyTelevisi�n,MADRID(MADRID)
418,COMPA�IAOPERADORADECORTOYMEDIORADIOIBERIAEXPRESSA,445.494.230,412.164.770,31.157.450,49.876.200,643,Transportea�reo,MADRID(MADRID)
419,CONSTRUCTORASANJOSESA,44.373.00,424.517.00,2.389.00,20.468.00,1.749,Construcci�nyDesarrollo,PONTEVEDRA(PONTEVEDRA)
420,LAFARGAYOURCOPPERSOLUTIONSSA,442.814.957,396.508.973,2.262.229,9.680.204,228,Metalesnoferrosos/minerales,LESMASIESDEV(BARCELONA)
421,UNIALCOSL,440.965.551,288.698.259,25.313.985,17.173.894,-,Minoristasdealimentos/medicamentos,IRUN(GUIP�ZCOA)
422,REPSOLEXPLORACIONMURZUQSA,440.532.00,-22.650.00,151.439.00,396.361.00,48,Petr�leoygas,MADRID(MADRID)
423,MANPOWERTEAMEMPRESADETRABAJOTEMPORALSA,440.355.00,416.174.00,668.00,2.252.00,12.700,Otros/varios,MADRID(MADRID)
424,BEDSONLINESL,436.719.00,468.008.00,968.00,1.809.00,-,Productos/actividadesdeocio/Pel�culas,PALMADEMALLOR(ISLASBALEARES)
425,RESTELSA,436.697.300,322.726.861,2.290.027,4.171.569,142,Productos/actividadesdeocio/Pel�culas,MADRID(MADRID)
426,AVINTIAPROYECTOSYCONSTRUCCIONESSL,436.315.163,321.378.560,10.680.735,13.612.619,977,Construcci�nyDesarrollo,POZUELODEALAR(MADRID)
427,BOEHRINGERINGELHEIMESPA�ASA,436.201.00,388.057.00,29.415.00,10.470.00,1.675,Productosf�rmacos/Medicamentos,BARCELONA(BARCELONA)
428,HIJOSDERIVERASA,435.510.752,376.259.390,60.167.640,124.403.495,614,BebidasyTabaco,LACORU�A(LACORU�A)
429,SEURGEOPOSTSL,434.88.163,399.837.701,-2.557.650,22.264.753,2.199,Transporteterrestre,MADRID(MADRID)
430,CARATESPA�ASA,433.119.487,418.371.238,23.348.805,5.872.506,282,Equiposyservicioscomerciales,Madrid(MADRID)
431,LACTALISCOMPRASYSUMINISTROSSL,432.996.397,392.054.053,801.861,2.980.868,51,Productosalimenticios,VILLALBA(LUGO)
432,ABERTISINFRAESTRUCTURASSA,432.639.00,288.429.00,274.897.00,338.964.00,186,Utilities/Serviciosdeutilidadp�blica,BARCELONA(BARCELONA)
433,WINDTOMARKETSA,430.731.00,322.953.00,179.00,331.00,36,Utilities/Serviciosdeutilidadp�blica,MADRID(MADRID)
434,MERCEDES-BENZVANSESPA�ASL,430.632.00,383.097.00,6.579.00,11.182.00,58,Automotor,Alcobendas(MADRID)
435,SASAUTOSYSTEMTECHNIKSA,425.299.00,452.390.00,7.110.00,11.002.00,423,Automotor,Arazuri(NAVARRA)
436,TRWAUTOMOTIVEESPA�ASL,425.043.00,415.455.00,30.203.00,53.939.00,2.231,Automotor,PAMPLONA(NAVARRA)
437,SAPESPA�ASISTEMASAPLICACIONESYPRODUCTOSENLAINFORMATICASA,423.029.548,346.952.578,28.517.746,39.846.020,587,Consultor�aempresarialyotros,MADRID(MADRID)
438,ACCIONAGREENENERGYDEVELOPMENTSSL,421.975.00,374.244.00,-7.893.00,-8.710.00,37,Construcci�nyDesarrollo,ALCOBENDAS(MADRID)
439,ASTRAZENECAFARMACEUTICASPAINSA,421.380.004,439.247.034,17.414.064,21.077.112,419,Productosf�rmacos/Medicamentos,MADRID(MADRID)
440,AIGUESDEBARCELONAEMPRESAMETROPOLITANADEGESTIODELCICLEINTEGRALDELAIGUASA,419.960.00,418.714.00,28.491.00,84.503.00,984,Utilities/Serviciosdeutilidadp�blica,BARCELONA(BARCELONA)
441,MANTRUCK&BUSIBERIASA,418.623.621,407.220.330,7.980.850,90.376.214,502,Automotor,COSLADA(MADRID)
442,DHLEXELSUPPLYCHAIN,418.605.00,409.473.00,11.823.00,14.364.00,2.892,Transporteterrestre,COSLADA(MADRID)
443,PETROMIRALLES3SL,418.201.112,358.977.340,454.139,1.296.644,6,Petr�leoygas,STAMARIAMIRAL(BARCELONA)
44,PAMESACERAMICASL,416.596.00,339.414.00,21.450.00,40.958.00,480,Construcci�nyDesarrollo,ALMAZORA(CASTELL�N)
445,JEALSARIANXEIRASA,415.748.520,356.828.527,15.518.835,23.105.746,240,Productosalimenticios,BOIRO(LACORU�A)
446,COBRELASCRUCESSA,412.452.00,327.149.00,104.161.00,292.498.00,266,Metalesnoferrosos/minerales,GERENA(SEVILLA)
447,ENCEENERGIAYCELULOSASA,412.100.00,366.894.00,69.813.00,81.025.00,458,Industriamaderera,MADRID(MADRID)
448,COMPA�IALEVANTINADEBEBIDASGASEOSASSL,410.822.879,327.557.597,5.875.662,16.973.360,506,BebidasyTabaco,QUARTDEPOBLET(VALENCIA)
449,SECURITASSEGURIDADESPA�ASA,410.579.00,382.841.895,9.163.847,22.893.775,-,Consultor�aempresarialyotros,Madrid(MADRID)
450,ABANCAHOLDINGFINANCIEROSA,405.242.00,300.089.00,388.563.00,404.215.00,-,Intermediariosfinancieros,MADRID(MADRID)
451,FRINSADELNOROESTESA,404.892.434,383.379.520,19.781.089,32.578.462,398,Productosalimenticios,RIBEIRA(LACORU�A)
452,ACCIONAAGUASA,403.272.00,479.283.00,16.058.00,25.106.00,3.051,Construcci�nyDesarrollo,ALCOBENDAS(MADRID)
453,WORLD2MEETSL,399.288.00,226.880.00,2.030.00,5.038.00,366,Productos/actividadesdeocio/Pel�culas,PALMADEMALLOR(ISLASBALEARES)
454,BPGASEUROPESA,399.162.494,408.198.626,17.708.506,25.914.407,-,Petr�leoygas,Alcobendas(MADRID)
455,AREASSA,396.570.00,364.153.00,18.583.00,35.008.00,4.255,Serviciodecomida,Barcelona(BARCELONA)
456,BORGESAGRICULTURAL&INDUSTRIALEDIBLEOILSSA,396.238.00,362.083.00,2.543.00,5.013.00,-,Productosalimenticios,TARREGA(LLEIDA)
457,SAINTGOBAINCRISTALERIASL,396.220.00,384.287.00,178.771.00,24.928.00,1.110,Construcci�nyDesarrollo,MADRID(MADRID)
458,HAVILOGISTICSFSLSL,395.877.592,369.398.369,43.820,790.357,397,Productosalimenticios,DAGANZODEARRI(MADRID)
459,SHELLESPA�ASA,394.382.00,255.500.00,16.557.00,29.985.00,127,Petr�leoygas,MADRID(MADRID)
460,MERCEDES-BENZTRUCKSESPA�ASL,394.236.00,368.294.00,-168.00,16.865.00,103,Automotor,ALCOBENDAS(MADRID)
461,FERROATLANTICASA,393.992.00,324.860.00,32.595.00,69.078.00,-,Acero,MADRID(MADRID)
462,HERBARICEMILLSSL,393.050.553,367.194.461,11.293.559,28.692.832,710,Productosalimenticios,SanJuandeAzn(SEVILLA)
463,IBERDROLAFINANCIACIONSA,392.982.00,422.552.00,15.472.00,364.740.00,-,Utilities/Serviciosdeutilidadp�blica,5(VIZCAYA)
464,CONTINENTALTIRESESPA�ASL,392.664.00,379.955.00,5.457.00,7.363.00,147,Automotor,SANFERNANDODE(MADRID)
465,SANTANDERINTERNATIONALDEBTSA,-,392.482.00,-,-,-,Intermediariosfinancieros,BOADILLADELMO(MADRID)
466,TEVAPHARMASL,391.279.498,441.921.521,20.229.892,40.107.855,914,Productosf�rmacos/Medicamentos,ALCOBENDAS(MADRID)
467,EMPRESANACIONALDERESIDUOSRADIACTIVOSSASMEMP,390.729.00,395.819.00,118.00,-112.436.00,324,Servicios&EquiposEcol�gicos,MADRID(MADRID)
468,AIRBUSHELICOPTERSESPA�ASA,389.718.936,328.445.554,26.931.563,36.730.427,508,Aeroespacialydefensa,ALBACETE(ALBACETE)
469,ENGIEESPA�ASL,387.568.625,372.321.158,24.574.153,718.458,-,Utilities/Serviciosdeutilidadp�blica,madrid(MADRID)
470,SENERINGENIERIAYSISTEMASSA,387.426.00,481.270.00,2.590.00,8.578.00,1.515,Consultor�aempresarialyotros,GETXO(VIZCAYA)
471,GAMESTORESIBERIASL,386.823.00,355.075.00,7.637.00,12.709.00,1.109,Productoselectr�nicos/el�ctricos,POZUELODEALAR(MADRID)
472,LACTEASGARCIABAQUEROSA,-,386.774.691,-,-,82,Productosalimenticios,ALCAZARDESAN(CIUDADREAL)
473,VOLVOCARESPA�ASL,-,386.569.597,-,-,98,Automotor,Madrid(MADRID)
474,PERNODRICARDESPA�ASA,384.625.675,361.933.671,121.285.099,39.736.060,445,BebidasyTabaco,M�laga(M�LAGA)
475,APPLERETAILSPAINSL,384.600.534,340.523.637,-371.016,19.459.054,1.287,Productoselectr�nicos/el�ctricos,madrid(MADRID)
476,SABADELLREALESTATEDEVELOPMENTSL,384.438.00,477.393.00,-614.730.00,-786.756.00,-,Intermediariosfinancieros,SANTCUGATDEL(BARCELONA)
477,ALEATICASA,383.182.00,112.413.00,330.075.00,336.932.00,84,Utilities/Serviciosdeutilidadp�blica,MADRID(MADRID)
478,MERLINPROPERTIESSOCIMISA,382.749.00,234.747.00,114.535.00,238.316.00,143,Inmobiliariasysimilares,MADRID(MADRID)
479,DISAREDDESERVICIOSPETROLIFEROSSA,381.278.00,350.785.00,33.101.00,45.441.00,47,Petr�leoygas,SANTACRUZDET(SANTACRUZDET)
480,VOTORANTIMCIMIENTOSEAAINVERSIONESSL,380.231.372,207.468.585,133.981.930,156.722.502,65,Construcci�nyDesarrollo,VIGO(PONTEVEDRA)
481,RESTAURANTESMCDONALDSSA,380.021.562,349.662.922,42.365.296,79.794.855,-,Serviciodecomida,MADRID(MADRID)
482,ESCURISSL,379.971.264,326.007.105,3.074.175,6.132.990,262,Productosalimenticios,POBRADOCARAMI(LACORU�A)
483,PFIZERGEPSL,379.015.00,453.345.00,5.882.00,19.027.00,313,Productosf�rmacos/Medicamentos,ALCOBENDAS(MADRID)
484,ABERTISAUTOPISTASESPA�ASA,378.371.00,320.102.00,31.653.00,77.528.00,90,Utilities/Serviciosdeutilidadp�blica,MADRID(MADRID)
485,ABBOTTLABORATORIES,378.327.00,441.930.00,18.290.00,34.622.00,649,Productosqu�micosypl�sticos,MADRID(MADRID)
486,GRANDESALMACENESFNACESPA�ASA,377.367.184,392.085.977,4.876.860,12.734.171,-,Minoristas(exceptoalimentosymedicamentos),POZUELODEALAR(MADRID)
487,UVESA,377.239.654,319.905.092,9.574.573,19.354.476,687,Agricultura,TUDELA(NAVARRA)
488,THEPHONEHOUSESPAINSL,-,374.778.00,-,-,1.751,Minoristas(exceptoalimentosymedicamentos),POZUELODEALAR(MADRID)
489,ESTEVEPHARMACEUTICALSSA,374.297.568,351.865.722,11.175.103,3.678.515,1.385,Productosf�rmacos/Medicamentos,barcelona(BARCELONA)
490,ROBERTBOSCHESPA�ASL,373.893.00,368.013.00,65.505.00,35.474.00,-,Productoselectr�nicos/el�ctricos,MADRID(MADRID)
491,COMERCIALGRUPOFREIXENETSA,373.691.629,369.812.585,15.086,832.276,252,BebidasyTabaco,SANTSADURNID�(BARCELONA)
492,MERCEDES-BENZPARTSLOGISTICSIBERICASL,373.595.00,92.917.00,5.665.00,9.451.00,209,Automotor,AZUQUECADEHEN(GUADALAJARA)
493,HEWLETT-PACKARDSERVICIOSESPA�ASL,369.735.744,737.636.063,-27.153.306,-6.420.822,1.062,Productoselectr�nicos/el�ctricos,LASROZAS(MADRID)
494,INSTITUTOGRIFOLSSA,369.210.55,368.209.831,140.030.430,175.429.304,1.205,Productosf�rmacos/Medicamentos,PARETSDELVALL(BARCELONA)
495,INDUSTRIASLACTEASDEGRANADASL,369.019.410,335.527.417,19.853.382,32.340.478,679,Productosalimenticios,GRANADA(GRANADA)
496,SERUNIONSA,368.457.00,360.526.00,2.269.00,16.098.00,7.159,Serviciodecomida,LEGANES(MADRID)
497,EURODEPOTESPA�ASA,368.138.00,384.625.00,872.00,7.616.00,1.793,Minoristas(exceptoalimentosymedicamentos),ELPRATDELLOB(BARCELONA)
498,TELEFONICASERVICIOSINTEGRALESDEDISTRIBUCIONSA,366.853.952,445.581.052,2.578.984,4.366.896,155,Telecomunicaciones,Madrid(MADRID)
499,XPOTRANSPORTSOLUTIONSSPAINSL,366.507.00,353.366.00,-1.846.00,10.558.00,1.194,Transporteterrestre,Santander(CANTABRIA)
500,VALORIZASERVICIOSMEDIOAMBIENTALESSA,366.344.261,324.120.617,10.678.803,41.346.499,5.490,Servicios&EquiposEcol�gicos,MADRID(MADRID)
